date,day,month,year,2016,2017,shift,manana,tarde,noche,line,surimi_2,surimi_3,angurinas_1,angurinas_2,angurinas_3,chanquitos,muslitos,paella,rallado,tallarimis_2,tallarimis_3,totalEmp,staff,%staff,temp,%temp,staff_trained,%staff_trained,staff_untrained,%staff_untrained,temp_trained,%temp_trained,temp_untrained,%temp_untrained,idms,productionID,product,overweight,oee,disp,performance,quality, quality_head, quality_tail,intStockGen,intStockCon, m1, m2, ud1, ud2, rawMat, orgDec,orgEnvDec,prodMass, massBalance, prodMassPerMin, grossProductionTime, netProductionTime, lineDowntime,972527,Delta972527,972525,Delta972525,972524,Delta972524,911424,Delta911424,940128,Delta940128,931184,Delta931184,931702,Delta931702,931480,Delta931480,931713,Delta931713,931712,Delta931712,930942,Delta930942,931213,Delta931213,931735,Delta931735,931335,Delta931335,926381,Delta926381,975321,Delta975321,931464,Delta931464,975324,Delta975324,931544,Delta931544,433086,Delta433086,931605,Delta931605,931641,Delta931641,433121,Delta433121,931613,Delta931613,931422,Delta931422,970000,Delta970000,940129,Delta940129,930975,Delta930975,931387,Delta931387,940138,Delta940138,931707,Delta931707,931169,Delta931169,931679,Delta931679,970074,Delta970074,931162,Delta931162,931450,Delta931450,975261,Delta975261,433105,Delta433105,433100,Delta433100,940125,Delta940125,931278,Delta931278,433098,Delta433098,931507,Delta931507,640040,Delta640040,931170,Delta931170,990147,Delta990147,632899,Delta632899,931703,Delta931703,931571,Delta931571,931576,Delta931576,930918,Delta930918
13/9/2016,13,9,2016,1,0,manana,1,0,0,chanquitos,0,0,0,0,0,1,0,0,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,6,115475,930942,2,0.03506465,0.097894903,0.692307692,0.51738076,0,100,0,0,142.77,84.74,11,3,1824.69,429,0,288,-1536.69,4.190784155,540,68.72222222,471.2777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/6/2016,27,6,2016,1,0,manana,1,0,0,surimi_2,1,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,100,0,0,0,0,0,0,76,112063,931278,1,0.209253603,0.558579603,0.76598507,0.489066108,85,93.3,0,0,237.68,237.68,19,25,10457.92,79,195,6940.8,-3517.12,19.91314552,480,348.5536723,131.4463277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/3/2017,22,3,2017,0,1,tarde,0,1,0,surimi_2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,92,123205,931278,0.9,0.221928167,0.56226108,0.769230769,0.513118599,100,96,0,0,237.68,237.68,23,25,11408.64,701,210,7200,-4208.64,20.52153695,480,350.8509142,129.1490858,0,0,4525,0,3600,0,7140,-420,0,0,0,0,4744.8,640.8,13060,-1080,0,0,10107,0,1111.5,-288,2402.4,-3203.2,105,0,0,0,9084,0,2219.7,0,676.8,671.4,15093,5445,0,0,3960,0,9575,0,203.4,203.4,0,0,3416.4,2811.6,0,0,0,0,0,0,0,0,2160,1314,2565,0,0,0,33204.6,-4276.8,53937.52,-6115.2,0,0,17614.8,0,5439,0,11340,0,14750,-840,12150,0,0,0,432820.8,-19008,6045,0,6707.2,0,607.5,-1800,38058,-1584,6825,-2160,2061.8,0,1368,1368,627.2,0,533.5,533.5,0,0
6/11/2017,6,11,2017,0,1,noche,0,0,1,surimi_2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,99,134037,931169,2.1,0.276689663,0.615415527,0.769230769,0.584477555,100,95,0,0,235.29,235.29,14,14,6588.12,50,100,5400,-1188.12,17.5315869,385,308.0154712,76.98452883,0,0,0,0,1080,0,12744,-1260,360,0,219,219,0,0,9805,-720,0,0,38938.5,14310,508.5,0,25079.6,5059.6,12009,0,0,0,5274,0,2688,0,0,-14.4,10539,0,0,0,3440,0,9205,1905,0,0,0,0,3.6,0,1.12,-1.12,0,0,0,0,1.25,0,0,0,7605,5526,0,0,44631,-712.8,150746.96,9886.24,0,0,18408.6,-5.4,9495,0,0,0,6650,0,4722,0,360,0,356875.2,-6048,6040,0,6726.4,0,14415,-457.5,41304,0,16560,-2520,2900.48,0,0,0,0,0,0,0,0,0
6/6/2016,6,6,2016,1,0,manana,1,0,0,surimi_3,0,1,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,100,0,0,0,0,0,0,78,111442,931335,5,0.176071373,0.370132953,0.769230769,0.618406934,100,100,0,0,237.34,237.34,4,5,2136.06,0,0,964,-1172.06,16.69531751,120,57.74074074,62.25925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/2016,6,6,2016,1,0,manana,1,0,0,surimi_3,0,1,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,100,0,0,0,0,0,0,78,111092,931702,0.99,0.133464826,0.273735755,0.769230769,0.633838548,100,95,0,0,237.34,237.34,10,0,2373.4,975,60,1461.6,-911.8,22.81818773,180,64.05416667,115.9458333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2016,2,9,2016,1,0,tarde,0,1,0,angurinas_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,132,114951,931679,2.692307692,0.265234091,0.53340081,0.769230769,0.646426312,100,95,0,0,135.27,41.67,15,3,2154.06,0,0,1594.32,-559.74,9.580037951,240,166.4210526,73.57894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2016,12,7,2016,1,0,manana,1,0,0,angurinas_2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,159,113000,931679,2.673995224,0.302294197,0.639676113,0.769230769,0.614345992,100,100,0,0,135.27,41.67,18,8,2768.22,96,0,2271.36,-496.86,9.104607595,300,249.4736842,50.52631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/2016,6,6,2016,1,0,manana,1,0,0,angurinas_2,0,0,0,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,155,111200,931464,4.581043409,0.072285683,0.179788839,0.769230769,0.522676429,100,90,0,0,135.27,41.67,6,2,894.96,35,0,462.6,-432.36,7.761744966,255,59.6,195.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/10/2016,26,10,2016,1,0,tarde,0,1,0,angurinas_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,137,117164,931679,4.068138651,0.228658431,0.483940621,0.769230769,0.614240565,100,100,0,0,135.27,41.67,8,4,1248.84,0,0,859.04,-389.8,9.103045176,150,94.36842105,55.63157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/9/2016,13,9,2016,1,0,tarde,0,1,0,surimi_2,1,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,79,115250,931170,2.12,0.316297823,0.657786922,0.769230769,0.62510694,96.6,97.3,0,0,237.67,237.67,19,19,9031.46,131,35,8880,-151.46,21.63431462,480,410.4590395,69.54096045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/11/2017,24,11,2017,0,1,noche,0,0,1,angurinas_1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,1,100,0,0,107,135677,931213,6.144132653,0.248913584,0.520950594,0.769230769,0.621148459,90,90,0,0,135.27,41.67,17,5,2507.94,0,0,2483.6,-24.34,7.64012605,480,325.0731707,154.9268293,0,0,0,0,1080,0,7518,-420,360,0,0,0,1512,144,7540,-720,0,0,23818.5,0,4239,2475,43682.8,6006,9228,0,0,0,11862,6414,2927.4,0,0,0,13938,0,0,0,3440,0,3505,-5,0,0,300,300,3.6,0,1.12,0,0,0,0,0,1.25,0,0,0,6399,0,0,0,73737,-1425.6,142833.6,4120.48,0,0,37589.4,-2138.4,7725,-714,8145,0,4130,0,7374,0,360,0,357926.4,16416,6040,0,1785.6,0,9255,4995,50964,0,19820,1100,1628,-6,0,0,1411.2,-313.6,0,-424.6,0,0
6/6/2016,6,6,2016,1,0,manana,1,0,0,angurinas_2,0,0,0,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,155,111198,930918,0,0.177395254,0.425174825,0.769230769,0.542397661,100,80,0,0,135.27,41.67,2,1,312.21,0,0,333.9,21.69,8.054605263,75,41.45454545,33.54545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2016,2,9,2016,1,0,tarde,0,1,0,angurinas_3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,100,0,0,0,0,0,0,1,100,132,114946,931571,3,0.165494524,0.398471898,0.769230769,0.539919835,100,100,0,0,135.27,41.67,6,2,894.96,244,0,996.8,101.84,8.017809555,240,124.3232323,115.6767677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/2016,6,6,2016,1,0,manana,1,0,0,angurinas_2,0,0,0,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,155,111199,930975,0,0.11889009,0.263365327,0.769230769,0.58685446,100,90,0,0,135.27,41.67,1,1,176.94,0,0,312.5,135.56,8.69278169,105,35.94936709,69.05063291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/9/2017,13,9,2017,0,1,manana,1,0,0,surimi_2,1,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,1,100,0,0,0,0,0,0,96,131914,931278,0.9,0.291613612,0.593293574,0.769230769,0.638971518,100,95.3,0,0,237.68,237.68,17,20,8794.16,140,150,9460.8,666.64,25.55486717,480,370.2151899,109.7848101,0,0,0,0,935,0,5934,0,360,0,0,-100,2487.6,-1594.8,6840,-360,145.6,145.6,418.5,-4.5,778.5,0,24724,-1201.2,2148,0,0,0,48,0,1526.7,0,0,-199.8,9243,0,0,0,5600,0,6940,0,0,0,0,0,3.6,0,460.32,459.2,0,0,0,0,0,-143.75,0,0,5679,0,468,0,20358,0,72923.76,-6755.84,0,0,0,0,5931,0,0,0,4940,0,2790,0,360,0,165888,12960,6040,0,3507.2,0,11805,-5287.5,19044,-6,6475,0,376,0,0,-3276,540.4,0,290.4,290.4,0,-311.85
7/12/2016,7,12,2016,1,0,manana,1,0,0,paella,0,0,0,0,0,0,0,1,0,0,0,1,1,100,0,0,0,0,1,100,0,0,0,0,3,119189,926381,8.1,0.106227106,0.218177656,0.769230769,0.632948583,0,0,0,0,0,0,0,0,0,0,0,2262,2262,16.61490031,480,136.1428571,343.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
